stationNumber,x,y,z
461,5.5698817074099995,-21.6762143363,1.4361017280994999
462,6.31756872413,-22.981151484,1.4288131631427
463,4.05849684914,-24.2720455982,1.4277413545695
464,7.06919145422,-21.680460043300002,1.4336136947007998
465,8.57557344503,-19.0809919879,1.4430611856374
466,7.8226995630700005,-20.3793807016,1.4411686387793
467,3.30177528023,-28.152082451400002,1.4025714482282998
468,2.5518004026499996,-26.8722575927,1.4168331265696
469,1.80197301709,-28.1618453711,1.4037174854288001
470,-6.452488397240001,-26.846568462,1.4200619942153
471,7.0789083566099995,-19.079287783799998,1.4462405595569001
472,7.8208644714,-17.7697481214,1.4493498569224
473,4.81406277793,-22.9744006254,1.4306378311696
474,5.5595831266,-24.2777472868,1.4250992843243
475,3.3192824616500003,-22.9603959138,1.4348402345135
476,4.04993036284,-26.8796793695,1.4154674599186998
477,5.564144478219999,-26.885102781,1.4122448092352
478,6.30917113594,-25.5775797531,1.4162866368635
479,3.30542494855,-25.5719205684,1.4229903845435001
480,4.80960073176,-25.5742962557,1.4197751921611
481,-11.6507825085,-4.72752459028,1.5003555835602669
482,-12.3959712861,-3.42842618775,1.50415593108133
483,7.09037043283,-16.473169494,1.4536841022235998
484,-13.8915225741,-3.4034540507199997,1.50403151659166
485,-10.8989723492,-3.4348208607400004,1.5046825742502898
486,-14.6481158163,-2.12887330048,1.50922557836071
487,-11.643591652200001,-2.1405949348899997,1.5068159117036901
488,-13.1435945173,-2.13741651396,1.50822617478667
489,-15.384650307800001,-0.885890999768,1.5108785190546
490,7.83778118198,-15.1854513788,1.4547965290357
491,8.57754720739,-16.4717863889,1.4502934902826001
492,9.32884288175,-17.7838027702,1.4442459066624
493,10.083783860899999,-16.482164881699997,1.4454160288945
494,9.34376638765,-15.188776247,1.4505428601994999
495,8.589285416700001,-13.889529726700001,1.4565931129165002
496,10.8372770894,-15.1952635268,1.4471077010413
497,6.33543369666,-15.191288725300002,1.4579395862536
498,4.840744486429999,-12.5813691853,1.4667075300995
499,7.097787053639999,-13.8980151765,1.4591062997228
500,11.5901082931,-19.0783227079,1.4342000210651
501,5.58567597157,-13.8828335005,1.4614209417196
502,-4.13180359646,0.444452025835,1.50271794583682
503,-0.374966171284,1.73059026961,1.49743347018138
504,-0.384556972275,-0.858340899062,1.4955304844749802
505,1.12582127467,1.72815228791,1.4943259121258399
506,0.370318641315,0.437437543039,1.49406421596506
507,12.3589130875,-7.39110950288,1.4580860391188
508,9.35473879005,-7.38360130347,1.4663216437813
509,-3.3751484762,1.74379708222,1.500789038830981
510,-1.1297924081700002,0.43807311548899996,1.4963949788151398
511,-1.8745999849800001,1.7380178780000002,1.49853733674083
512,11.573437196499999,-21.692357472399998,1.4246391609286
513,11.5914630493,-13.899217245100001,1.4485787457434
514,7.10213638009,-8.68037876629,1.4704256802628
515,-3.38506258502,-0.854636178135,1.499225484730726
516,10.820751075599999,-22.9915276787,1.4228736050172
517,7.06012284316,-24.27475301,1.4148081535904
518,8.56961250653,-21.6847189998,1.4312521519735
519,10.0717262885,-21.6890952197,1.4297450501395002
520,7.81508295871,-25.575324847,1.4075704639404
521,10.8506035708,-9.990144718109999,1.4584141856799
522,1.11744565736,-0.866796616514,1.49283315755863
523,-2.6252129495,0.441658686027,1.4984851180487302
524,14.5884359936,-16.4930937028,1.4274566943356999
525,-1.81988109815,-0.866923309585,1.4967016097472898
526,13.0848279602,-16.489230353700002,1.4379243145776
527,10.067473400299999,-24.291049593,1.4087533692781
528,8.59332225732,-11.300226007100001,1.4613668670003002
529,10.096593655000001,-11.2900191554,1.4594754128746
530,7.81809476763,-22.9794994294,1.4269485676904001
531,9.315646551010001,-22.987700016399998,1.4262001631585999
532,6.34640165699,-9.98457664042,1.468867053362
533,8.57187825449,-24.2868349228,1.4119719164168
534,7.09420315054,-11.292146451299999,1.4657623675662002
535,-12.3905625914,-0.838448534353,1.50816547388512
536,-13.888749621499999,-0.836876538641,1.510083387945
537,-10.8896173674,-0.841888490651,1.50535057312547
538,6.33622237461,-12.585570028300001,1.4636706335063
539,7.84092818764,-12.5923233168,1.4594071778773
540,5.59135588841,-11.277620073100001,1.4682206731154
541,11.6044523551,-8.691392654089999,1.4587569521875001
542,-9.38838189309,-0.841486727447,1.50181386926905
543,8.60638798279,-6.07919300476,1.470244927678
544,11.631836699800001,-11.300769870100002,1.4541547326043
545,-5.630601582170001,13.4568802355,1.49552714880904
546,11.582861818400001,-16.4845790352,1.4438969745705001
547,12.345035581,-12.598782279,1.4480864201439
548,-8.639122349139999,-2.12835060501,1.5010107870859
549,7.109338397839999,-6.07868218389,1.4726073227509
